2023-11-01 09:40:46

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
11.5	1.721	-0.001	1.07	0.002	-0.001	-0.0	-0.001	-0.002	0	0	0	0	6	0	843645345	0	1000.0
11.75	1.763	0.0	1.095	0.001	0.001	-0.0	-0.003	-0.002	0	0	0	0	9	0	843685212	0	1000.0
12.0	1.797	0.002	1.117	0.001	-0.0	0.001	-0.002	-0.001	0	0	0	0	14	0	843681132	0	1000.0
12.25	1.833	-0.001	1.204	0.0	0.002	0.001	-0.002	-0.001	0	0	0	0	20	0	843688122	0	1000.0
12.5	1.873	-0.003	1.234	0.001	-0.0	0.003	-0.002	-0.004	0	0	0	0	48	0	843691732	0	1000.0
12.75	1.91	-0.003	1.258	0.001	0.001	-0.0	-0.001	-0.002	0	0	0	0	63	0	843697738	0	1000.0
13.0	1.948	-0.003	1.28	0.002	-0.0	0.003	0.0	-0.001	0	0	0	0	102	0	843708183	0	1000.0
13.25	1.985	-0.003	1.341	0.001	-0.004	0.002	-0.004	0.0	0	0	0	0	138	0	843700491	0	1000.0
13.5	2.021	0.001	1.368	-0.002	-0.001	-0.0	-0.001	-0.002	0	0	0	0	215	0	843699589	0	1000.0
13.75	2.059	0.0	1.395	0.001	0.001	0.002	-0.003	0.0	0	0	0	0	290	0	843685545	0	1000.0
14.0	2.1	0.002	1.419	0.003	-0.001	-0.0	-0.001	-0.002	0	0	0	0	420	0	843676290	0	1000.0
14.25	2.137	0.0	1.446	0.001	-0.001	0.002	-0.003	-0.002	0	0	0	0	608	0	843697229	0	1000.0
14.5	2.173	-0.003	1.524	-0.002	-0.003	-0.0	-0.003	-0.002	0	0	0	0	760	0	843686162	0	1000.0
14.75	2.212	-0.001	1.551	0.0	-0.001	-0.002	-0.003	0.0	0	0	0	0	1040	0	843668003	0	1000.0
15.0	2.247	-0.003	1.583	-0.002	0.002	-0.002	0.0	-0.001	0	0	0	0	1319	0	843677099	0	1000.0
15.25	2.285	0.001	1.617	0.0	-0.0	0.001	-0.002	-0.001	0	0	0	0	1643	0	843664151	0	1000.0
15.5	2.325	-0.003	1.644	0.001	-0.003	0.002	-0.003	-0.002	0	0	0	0	2058	0	843662592	0	1000.0
15.75	2.358	-0.003	1.673	-0.002	-0.003	-0.0	-0.001	-0.007	0	0	0	0	2559	0	843649236	0	1000.0
16.0	2.395	-0.003	1.717	0.0	-0.001	0.002	-0.001	0.0	0	0	0	0	3069	0	843657620	0	1000.0
16.25	2.437	0.001	1.746	0.0	-0.001	0.002	-0.001	-0.002	0	0	0	0	3732	0	843662270	0	1000.0
16.5	2.473	-0.003	1.773	-0.002	-0.003	-0.002	-0.003	-0.004	0	0	0	0	4172	0	843683315	0	1000.0
16.75	2.512	-0.003	1.8	-0.002	-0.003	-0.002	-0.003	-0.004	0	0	0	0	4841	0	843677026	0	1000.0
17.0	2.549	0.0	1.849	-0.002	0.001	-0.0	-0.003	-0.002	0	0	0	0	5449	0	843682097	0	1000.0
17.25	2.586	0.001	1.893	0.0	-0.002	-0.003	-0.001	-0.003	0	0	0	0	6125	0	843688931	0	1000.0
17.5	2.622	-0.001	1.919	0.0	-0.001	-0.002	-0.001	-0.004	0	0	0	0	7033	0	843693381	0	1000.0
17.75	2.659	0.0	1.944	-0.002	-0.001	0.002	-0.005	-0.002	0	0	0	0	8195	0	843679113	0	1000.0
18.0	2.695	-0.002	1.977	-0.001	-0.004	-0.001	-0.006	-0.003	0	0	0	0	9224	0	843682846	0	1000.0
18.25	2.734	-0.001	2.0	0.0	0.004	-0.0	-0.003	-0.002	0	0	0	0	10179	0	843681322	0	1000.0
18.5	2.774	-0.003	2.03	0.001	-0.006	-0.0	-0.003	0.0	0	0	0	0	11096	0	843671518	0	1000.0
18.75	2.811	-0.003	2.062	0.001	-0.001	-0.0	0.695	-0.002	0	0	0	0	12409	0	843682866	0	1000.0
19.0	2.847	-0.001	2.088	0.0	-0.002	-0.003	0.702	-0.003	0	0	0	0	13510	0	843697336	0	1000.0
19.25	2.886	-0.003	2.118	0.001	0.684	-0.0	0.712	-0.002	0	0	0	0	5672	0	843688946	0	1000.0
19.5	2.923	-0.001	2.144	-0.002	0.696	0.001	0.723	-0.004	0	0	0	0	0	0	843696742	0	1000.0
19.75	2.962	-0.003	2.206	-0.002	0.705	-0.0	0.734	-0.002	0	0	0	0	0	0	843677669	0	1000.0
20.0	2.996	-0.001	2.237	-0.002	0.714	-0.0	0.744	0.0	0	0	0	0	0	0	843679508	0	1000.0
20.25	3.036	0.0	2.265	0.001	0.727	-0.0	0.754	-0.002	0	0	0	0	0	0	843678909	0	1000.0
20.5	3.071	-0.003	2.293	0.0	0.732	-0.002	0.762	-0.004	0	0	0	0	0	0	843675373	0	1000.0
20.75	3.111	-0.003	2.408	-0.002	0.742	0.001	0.769	-0.001	0	0	0	0	0	0	843671462	0	1000.0
21.0	3.147	-0.001	2.432	-0.002	0.752	0.003	0.777	-0.001	0	0	0	0	0	0	843667203	0	1000.0
21.25	3.186	-0.003	2.466	0.0	0.762	0.001	0.789	-0.003	0	0	0	0	0	0	843687968	0	1000.0
21.5	3.227	0.0	2.497	-0.001	0.766	-0.002	0.798	-0.002	0	0	0	0	0	0	843683668	0	1000.0
21.75	3.261	-0.002	2.529	0.001	0.777	-0.006	0.805	-0.003	0	0	0	0	0	0	843672670	0	1000.0
22.0	3.299	0.001	2.557	0.0	0.785	-0.003	0.817	-0.003	0	0	0	0	0	0	843669011	0	1000.0
22.25	3.335	-0.003	2.603	0.0	0.795	-0.0	0.827	-0.002	0	0	0	0	0	0	843684058	0	1000.0
22.5	3.372	-0.003	2.638	0.001	0.804	0.001	0.835	-0.001	0	0	0	0	0	0	843653432	0	1000.0
22.75	3.412	0.0	2.665	0.004	0.812	-0.002	0.845	-0.004	0	0	0	0	0	0	843681447	0	1000.0
23.0	3.445	-0.001	2.696	0.0	0.82	0.001	0.852	-0.004	0	0	0	0	0	0	843674722	0	1000.0
23.25	3.482	0.0	2.728	0.003	0.832	-0.0	0.861	-0.002	0	0	0	0	0	0	843696802	0	1000.0
23.5	3.524	-0.003	2.763	-0.002	0.841	0.002	0.876	-0.002	0	0	0	0	0	0	843701821	0	1000.0
23.75	3.56	-0.003	2.83	-0.002	0.849	-0.0	0.883	0.0	0	0	0	0	0	0	843698894	0	1000.0
24.0	3.597	-0.003	2.899	-0.002	0.861	-0.0	0.888	-0.002	0	0	0	0	0	0	843684467	0	1000.0
24.25	3.634	0.0	2.929	0.001	0.863	-0.0	0.901	-0.002	0	0	0	2	0	0	843705025	0	1000.0
24.5	3.67	-0.003	2.957	-0.002	0.878	-0.0	0.908	-0.002	0	0	0	8	0	0	843696755	0	1000.0
24.75	3.709	-0.003	2.989	0.0	0.883	0.002	0.92	-0.002	0	0	0	28	0	0	843687766	0	1000.0
25.0	3.746	0.0	3.021	-0.002	0.895	-0.0	0.93	0.0	0	0	0	99	0	0	843686621	0	1000.0
25.25	3.785	-0.001	3.05	0.0	0.903	0.001	0.94	-0.001	0	0	0	505	0	0	843641704	0	1000.0
25.5	3.821	-0.001	3.079	0.002	0.91	-0.0	0.949	-0.002	0	0	0	1789	0	0	843667568	0	1000.0
25.75	3.861	0.0	3.112	-0.002	0.919	-0.001	0.959	0.0	0	0	0	6553	0	0	843671187	0	1000.0
26.0	3.9	-0.003	3.143	0.001	0.928	-0.0	0.966	0.003	0	0	0	22342	0	0	843689752	0	1000.0
26.25	3.934	-0.003	3.175	-0.002	0.939	-0.001	0.976	-0.003	0	0	0	74862	0	0	843687310	0	1000.0
26.5	3.973	0.001	3.226	-0.002	0.949	-0.002	0.984	-0.004	0	0	0	234194	0	0	843669419	0	1000.0
26.75	4.012	-0.003	3.255	2.952	0.959	0.003	0.994	-0.001	0	0	0	1	0	0	843674686	0	1000.0
27.0	4.046	-0.001	3.287	3.011	0.964	0.002	1.006	-0.002	0	0	0	0	0	0	843669484	0	1000.0
27.25	4.085	0.001	3.319	3.04	0.973	0.002	1.01	-0.002	0	0	0	0	0	0	843674141	0	1000.0
27.5	4.122	0.0	3.349	3.07	0.981	-0.0	1.02	0.0	0	0	0	0	0	0	843662702	0	1000.0
27.75	4.161	0.0	3.38	3.1	0.988	-0.0	1.03	-0.004	0	0	0	0	0	0	843676394	0	1000.0
28.0	4.2	-0.003	3.412	3.129	1.0	0.003	1.04	0.001	0	0	0	0	0	0	843685351	0	1000.0
28.25	4.235	-0.002	3.481	3.159	1.01	-0.002	1.047	-0.002	0	0	0	0	0	0	843691284	0	1000.0
28.5	4.271	-0.005	3.515	3.256	1.02	0.001	1.06	-0.001	0	0	0	0	0	0	843694105	0	1000.0
28.75	4.312	-0.001	3.543	3.37	1.028	0.003	1.072	0.001	0	0	0	0	0	0	843693716	0	1000.0
29.0	4.347	0.0	3.583	3.4	1.038	0.006	1.078	0.002	0	0	0	0	0	0	843681964	0	1000.0
