LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:34:13,0                 
Time,Ampl
-4.043349e-08,-0.0015133
-4.038349e-08,0.0120531
-4.033349e-08,0.0179301
-4.028349e-08,0.0214727
-4.023349e-08,0.0257568
-4.018349e-08,0.0266356
-4.013349e-08,0.0264709
-4.008349e-08,0.0229557
-4.003349e-08,0.0102406
-3.998349e-08,-0.00291389
-3.993349e-08,-0.00865353
-3.988349e-08,-0.00780219
-3.983349e-08,-0.00266673
-3.978349e-08,-0.00088167
-3.973349e-08,0.00112308
-3.968349e-08,0.00757675
-3.963349e-08,0.0119433
-3.958349e-08,0.015074
-3.953349e-08,0.0172984
-3.948349e-08,0.0144423
-3.943349e-08,0.00900479
-3.938349e-08,0.00650571
-3.933349e-08,0.0089224
-3.928349e-08,0.0125749
-3.923349e-08,0.0158978
-3.918349e-08,0.0170513
-3.913349e-08,0.00812599
-3.908349e-08,-0.00316105
-3.903349e-08,-0.00774727
-3.898349e-08,-0.00851621
-3.893349e-08,-0.00230971
-3.888349e-08,0.00288068
-3.883349e-08,0.0038144
-3.878349e-08,0.012108
-3.873349e-08,0.015074
-3.868349e-08,0.00639586
-3.863349e-08,0.008483
-3.858349e-08,0.0170787
-3.853349e-08,0.0105976
-3.848349e-08,0.00290814
-3.843349e-08,0.0103504
-3.838349e-08,0.0161175
-3.833349e-08,0.0120257
-3.828349e-08,0.0133988
-3.823349e-08,0.0213354
-3.818349e-08,0.0236972
-3.813349e-08,0.0167492
-3.808349e-08,0.00974627
-3.803349e-08,0.0143325
-3.798349e-08,0.01977
-3.793349e-08,0.0159528
-3.788349e-08,0.0156507
-3.783349e-08,0.0249879
-3.778349e-08,0.0307001
-3.773349e-08,0.0197151
-3.768349e-08,0.00598393
-3.763349e-08,0.00189203
-3.758349e-08,-0.00206255
-3.753349e-08,0.00197442
-3.748349e-08,0.0111743
-3.743349e-08,0.0065881
-3.738349e-08,0.0024962
-3.733349e-08,0.00678034
-3.728349e-08,0.00145263
-3.723349e-08,-0.00876338
-3.718349e-08,-0.0058249
-3.713349e-08,0.00310038
-3.708349e-08,0.00628601
-3.703349e-08,0.0114489
-3.698349e-08,0.0166668
-3.693349e-08,0.0114215
-3.688349e-08,0.00713735
-3.683349e-08,0.0141128
-3.678349e-08,0.0146895
-3.673349e-08,0.000711148
-3.668349e-08,-0.00428701
-3.663349e-08,0.00606631
-3.658349e-08,0.00922449
-3.653349e-08,0.00345739
-3.648349e-08,0.00321023
-3.643349e-08,0.00672541
-3.638349e-08,0.0107898
-3.633349e-08,0.0171062
-3.628349e-08,0.0209235
-3.623349e-08,0.0167217
-3.618349e-08,0.0101307
-3.613349e-08,0.0126024
-3.608349e-08,0.0199348
-3.603349e-08,0.0207862
-3.598349e-08,0.0194954
-3.593349e-08,0.0219396
-3.588349e-08,0.0200172
-3.583349e-08,0.00999344
-3.578349e-08,-0.00115629
-3.573349e-08,-0.0105759
-3.568349e-08,-0.0140636
-3.563349e-08,-0.0100266
-3.558349e-08,-0.00170554
-3.553349e-08,0.00730212
-3.548349e-08,0.00790629
-3.543349e-08,0.00321023
-3.538349e-08,0.00224904
-3.533349e-08,-0.000414809
-3.528349e-08,-0.00263926
-3.523349e-08,0.00510513
-3.518349e-08,0.00903225
-3.513349e-08,0.000985772
-3.508349e-08,-0.0026118
-3.503349e-08,0.00139771
-3.498349e-08,0.00672541
-3.493349e-08,0.00450096
-3.488349e-08,-0.00758249
-3.483349e-08,-0.013432
-3.478349e-08,-0.0109054
-3.473349e-08,-0.0081592
-3.468349e-08,-0.00206255
-3.463349e-08,0.00370455
-3.458349e-08,0.00222158
-3.453349e-08,0.00117801
-3.448349e-08,0.00664302
-3.443349e-08,0.0143874
-3.438349e-08,0.0215276
-3.433349e-08,0.0247682
-3.428349e-08,0.0209509
-3.423349e-08,0.0161725
-3.418349e-08,0.016502
-3.413349e-08,0.0153211
-3.408349e-08,0.0098012
-3.403349e-08,0.011394
-3.398349e-08,0.0163098
-3.393349e-08,0.0100758
-3.388349e-08,0.00529737
-3.383349e-08,0.00897733
-3.378349e-08,0.00480304
-3.373349e-08,0.00115055
-3.368349e-08,0.00873017
-3.363349e-08,0.0121355
-3.358349e-08,0.0147994
-3.353349e-08,0.0240542
-3.348349e-08,0.0278714
-3.343349e-08,0.0273771
-3.338349e-08,0.0278714
-3.333349e-08,0.0253449
-3.328349e-08,0.0193032
-3.323349e-08,0.016502
-3.318349e-08,0.0173259
-3.313349e-08,0.0129319
-3.308349e-08,0.00480304
-3.303349e-08,0.00167233
-3.298349e-08,0.00513259
-3.293349e-08,0.00765913
-3.288349e-08,0.0070275
-3.283349e-08,0.0115313
-3.278349e-08,0.019825
-3.273349e-08,0.0241091
-3.268349e-08,0.0227085
-3.263349e-08,0.0116961
-3.258349e-08,-0.00483625
-3.253349e-08,-0.00999918
-3.248349e-08,-0.00296881
-3.243349e-08,0.00691765
-3.238349e-08,0.0136459
-3.233349e-08,0.00818092
-3.228349e-08,0.00230397
-3.223349e-08,0.00579169
-3.218349e-08,0.0029356
-3.213349e-08,-0.00244703
-3.208349e-08,-0.000607046
-3.203349e-08,0.000244288
-3.198349e-08,0.00150756
-3.193349e-08,0.0106525
-3.188349e-08,0.0199897
-3.183349e-08,0.0214178
-3.178349e-08,0.0218297
-3.173349e-08,0.0205115
-3.168349e-08,0.0138107
-3.163349e-08,0.0129044
-3.158349e-08,0.0190286
-3.153349e-08,0.0227085
-3.148349e-08,0.0257568
-3.143349e-08,0.0279264
-3.138349e-08,0.0222142
-3.133349e-08,0.0163647
-3.128349e-08,0.0220494
-3.123349e-08,0.0266356
-3.118349e-08,0.0197975
-3.113349e-08,0.0156507
-3.108349e-08,0.0148543
-3.103349e-08,0.00771406
-3.098349e-08,0.000820998
-3.093349e-08,-0.00997172
-3.088349e-08,-0.0253781
-3.083349e-08,-0.0218629
-3.078349e-08,-0.00736279
-3.073349e-08,-0.00873591
-3.068349e-08,-0.0096971
-3.063349e-08,0.00268844
-3.058349e-08,0.00732958
-3.053349e-08,0.00554453
-3.048349e-08,0.0125474
-3.043349e-08,0.0180125
-3.038349e-08,0.011751
-3.033349e-08,0.00263352
-3.028349e-08,0.00145263
-3.023349e-08,0.00483051
-3.018349e-08,0.00266098
-3.013349e-08,-0.00409477
-3.008349e-08,-0.00824159
-3.003349e-08,-0.0113174
-2.998349e-08,-0.0146953
-2.993349e-08,-0.0110153
-2.988349e-08,-0.000552121
-2.983349e-08,0.00312784
-2.978349e-08,-0.00618191
-2.973349e-08,-0.0109054
-2.968349e-08,-0.00255688
-2.963349e-08,-0.00154077
-2.958349e-08,-0.00708817
-2.953349e-08,-0.00357298
-2.948349e-08,0.0010407
-2.943349e-08,0.00345739
-2.938349e-08,0.00713735
-2.933349e-08,0.00353977
-2.928349e-08,-0.00263926
-2.923349e-08,-0.00425954
-2.918349e-08,-0.0135144
-2.913349e-08,-0.0229614
-2.908349e-08,-0.0188421
-2.903349e-08,-0.010466
-2.898349e-08,-0.00148584
-2.893349e-08,0.00332008
-2.888349e-08,0.000573836
-2.883349e-08,0.00153502
-2.878349e-08,0.00288068
-2.873349e-08,0.000354137
-2.868349e-08,0.0065881
-2.863349e-08,0.0156507
-2.858349e-08,0.0134812
-2.853349e-08,0.00628601
-2.848349e-08,0.00477558
-2.843349e-08,0.00875763
-2.838349e-08,0.00257859
-2.833349e-08,-0.0115371
-2.828349e-08,-0.0105484
-2.823349e-08,0.000930848
-2.818349e-08,0.00730212
-2.813349e-08,0.0100209
-2.808349e-08,0.0133164
-2.803349e-08,0.0129868
-2.798349e-08,0.00796122
-2.793349e-08,0.00782391
-2.788349e-08,0.0070275
-2.783349e-08,-0.00187032
-2.778349e-08,-0.00659385
-2.773349e-08,-0.00609952
-2.768349e-08,-0.0015133
-2.763349e-08,0.0138382
-2.758349e-08,0.0257568
-2.753349e-08,0.0213903
-2.748349e-08,0.0139755
-2.743349e-08,0.0146895
-2.738349e-08,0.0135635
-2.733349e-08,0.00439111
-2.728349e-08,0.00164487
-2.723349e-08,0.00787883
-2.718349e-08,0.00167233
-2.713349e-08,-0.0128003
-2.708349e-08,-0.0103013
-2.703349e-08,0.000903385
-2.698349e-08,0.00422633
-2.693349e-08,0.00878509
-2.688349e-08,0.0211157
-2.683349e-08,0.0332541
-2.678349e-08,0.0339406
-2.673349e-08,0.0241091
-2.668349e-08,0.0171062
