LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:34:16,0                 
Time,Ampl
-4.04031e-08,0.0102955
-4.03531e-08,0.0195778
-4.03031e-08,0.0237246
-4.02531e-08,0.0275419
-4.02031e-08,0.0246309
-4.01531e-08,0.0162274
-4.01031e-08,0.00694511
-4.00531e-08,-0.00291389
-4.00031e-08,-0.00955978
-3.99531e-08,-0.0124159
-3.99031e-08,-0.011235
-3.98531e-08,-0.00994426
-3.98031e-08,-0.0151896
-3.97531e-08,-0.0179358
-3.97031e-08,-0.0138988
-3.96531e-08,-0.0147227
-3.96031e-08,-0.0191167
-3.95531e-08,-0.0168099
-3.95031e-08,-0.00906546
-3.94531e-08,-0.00535804
-3.94031e-08,-0.00651146
-3.93531e-08,-0.000744358
-3.93031e-08,0.00952657
-3.92531e-08,0.008483
-3.92031e-08,-0.00206255
-3.91531e-08,-0.00884576
-3.91031e-08,-0.00835144
-3.90531e-08,-0.00478133
-3.90031e-08,-0.00442432
-3.89531e-08,-0.00678608
-3.89031e-08,-0.00184285
-3.88531e-08,0.00689019
-3.88031e-08,0.00804361
-3.87531e-08,0.00164487
-3.87031e-08,-0.00879084
-3.86531e-08,-0.0221925
-3.86031e-08,-0.0361434
-3.85531e-08,-0.0360335
-3.85031e-08,-0.021451
-3.84531e-08,-0.010109
-3.84031e-08,0.00411648
-3.83531e-08,0.0272947
-3.83031e-08,0.0408337
-3.82531e-08,0.0389663
-3.82031e-08,0.0328696
-3.81531e-08,0.0235599
-3.81031e-08,0.0112842
-3.80531e-08,0.000820998
-3.80031e-08,-0.00703324
-3.79531e-08,-0.00939501
-3.79031e-08,-0.00533058
-3.78531e-08,-0.00346313
-3.78031e-08,-0.0079395
-3.77531e-08,-0.010164
-3.77031e-08,-0.0088183
-3.76531e-08,-0.00741772
-3.76031e-08,-0.0067037
-3.75531e-08,-0.00807682
-3.75031e-08,-0.00607206
-3.74531e-08,-0.00288642
-3.74031e-08,-0.00453417
-3.73531e-08,-0.00892815
-3.73031e-08,-0.0131848
-3.72531e-08,-0.00832398
-3.72031e-08,-0.000469734
-3.71531e-08,-0.00489118
-3.71031e-08,-0.00338075
-3.70531e-08,0.0130692
-3.70031e-08,0.0193856
-3.69531e-08,0.0116686
-3.69031e-08,0.00752182
-3.68531e-08,0.00463827
-3.68031e-08,-0.00689593
-3.67531e-08,-0.0224396
-3.67031e-08,-0.0341935
-3.66531e-08,-0.0328754
-3.66031e-08,-0.022879
-3.65531e-08,-0.0199955
-3.65031e-08,-0.0171119
-3.64531e-08,-0.00651146
-3.64031e-08,-0.00203509
-3.63531e-08,-0.010521
-3.63031e-08,-0.0241972
-3.62531e-08,-0.0304312
-3.62031e-08,-0.0221925
-3.61531e-08,-0.017057
-3.61031e-08,-0.0215608
-3.60531e-08,-0.014915
-3.60031e-08,-0.00387507
-3.59531e-08,-0.00566013
-3.59031e-08,-0.010466
-3.58531e-08,-0.0122511
-3.58031e-08,-0.0130475
-3.57531e-08,-0.0137341
-3.57031e-08,-0.0154367
-3.56531e-08,-0.0129102
-3.56031e-08,-0.0105484
-3.55531e-08,-0.0142833
-3.55031e-08,-0.015272
-3.54531e-08,-0.0096971
-3.54031e-08,-0.00741772
-3.53531e-08,-0.0136791
-3.53031e-08,-0.0210665
-3.52531e-08,-0.0237029
-3.52031e-08,-0.0238677
-3.51531e-08,-0.0271357
-3.51031e-08,-0.0280969
-3.50531e-08,-0.0204624
-3.50031e-08,-0.0143108
-3.49531e-08,-0.0124433
-3.49031e-08,-0.00813174
-3.48531e-08,-0.00252941
-3.48031e-08,-0.000689433
-3.47531e-08,-0.00464402
-3.47031e-08,-0.00766488
-3.46531e-08,-0.00629176
-3.46031e-08,-0.0110428
-3.45531e-08,-0.0211214
-3.45031e-08,-0.0214235
-3.44531e-08,-0.0162057
-3.44031e-08,-0.0164528
-3.43531e-08,-0.0173316
-3.43031e-08,-0.0139263
-3.42531e-08,-0.00329836
-3.42031e-08,0.0115039
-3.41531e-08,0.0165569
-3.41031e-08,0.0167217
-3.40531e-08,0.0218297
-3.40031e-08,0.0169963
-3.39531e-08,0.00178218
-3.39031e-08,-0.00552281
-3.38531e-08,-0.00277657
-3.38031e-08,-0.000689433
-3.37531e-08,-0.00873591
-3.37031e-08,-0.0178534
-3.36531e-08,-0.015629
-3.36031e-08,-0.0125532
-3.35531e-08,-0.0103287
-3.35031e-08,-0.00189778
-3.34531e-08,0.000903385
-3.34031e-08,-0.0081592
-3.33531e-08,-0.0195561
-3.33031e-08,-0.0224396
-3.32531e-08,-0.0167275
-3.32031e-08,-0.0135144
-3.31531e-08,-0.0126081
-3.31031e-08,-0.00697832
-3.30531e-08,-0.00346313
-3.30031e-08,-0.00486372
-3.29531e-08,-0.00557774
-3.29031e-08,-0.00972456
-3.28531e-08,-0.0169746
-3.28031e-08,-0.0229889
-3.27531e-08,-0.0282342
-3.27031e-08,-0.026559
-3.26531e-08,-0.0169472
-3.26031e-08,-0.00774727
-3.25531e-08,-0.000909132
-3.25031e-08,0.00367709
-3.24531e-08,0.000930848
-3.24031e-08,-0.00642907
-3.23531e-08,-0.0105484
-3.23031e-08,-0.012306
-3.22531e-08,-0.0138165
-3.22031e-08,-0.0176063
-3.21531e-08,-0.0246916
-3.21031e-08,-0.0316121
-3.20531e-08,-0.0342759
-3.20031e-08,-0.0303488
-3.19531e-08,-0.0263668
-3.19031e-08,-0.0288384
-3.18531e-08,-0.0261196
-3.18031e-08,-0.0128827
-3.17531e-08,-0.00664877
-3.17031e-08,-0.00703324
-3.16531e-08,-0.0019527
-3.16031e-08,0.00180964
-3.15531e-08,-0.000716896
-3.15031e-08,-0.00321597
-3.14531e-08,-0.00489118
-3.14031e-08,-0.0116744
-3.13531e-08,-0.0171943
-3.13031e-08,-0.0205997
-3.12531e-08,-0.0269709
-3.12031e-08,-0.0227967
-3.11531e-08,-0.00980695
-3.11031e-08,-0.0023921
-3.10531e-08,0.000628761
-3.10031e-08,0.00101323
-3.09531e-08,0.000106976
-3.09031e-08,0.000711148
-3.08531e-08,0.00678034
-3.08031e-08,0.0139206
-3.07531e-08,0.00916956
-3.07031e-08,0.00164487
-3.06531e-08,0.00466573
-3.06031e-08,0.00647825
-3.05531e-08,0.00235889
-3.05031e-08,0.00444603
-3.04531e-08,0.00905971
-3.04031e-08,0.00565438
-3.03531e-08,-0.00123868
-3.03031e-08,-0.00549535
-3.02531e-08,-0.00321597
-3.02031e-08,0.0031553
-3.01531e-08,0.00823584
-3.01031e-08,0.0129044
-3.00531e-08,0.0126024
-3.00031e-08,0.00867524
-2.99531e-08,0.00535229
-2.99031e-08,-0.000222573
-2.98531e-08,-0.00802189
-2.98031e-08,-0.021808
-2.97531e-08,-0.0397409
-2.97031e-08,-0.0441075
-2.96531e-08,-0.0280145
-2.96031e-08,-0.0129926
-2.95531e-08,-0.0157388
-2.95031e-08,-0.0235931
-2.94531e-08,-0.0221101
-2.94031e-08,-0.0167275
-2.93531e-08,-0.0128553
-2.93031e-08,-0.0124433
-2.92531e-08,-0.0196934
-2.92031e-08,-0.0238952
-2.91531e-08,-0.0205447
-2.91031e-08,-0.01854
-2.90531e-08,-0.0145854
-2.90031e-08,-0.00478133
-2.89531e-08,0.00178218
-2.89031e-08,-0.000661971
-2.88531e-08,-0.00447924
-2.88031e-08,-0.0081592
-2.87531e-08,-0.0169746
-2.87031e-08,-0.0237029
-2.86531e-08,-0.0251584
