LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:34:16,0                 
Time,Ampl
-4.040562e-08,0.00430872
-4.035562e-08,0.00268844
-4.030562e-08,0.00414395
-4.025562e-08,0.00590154
-4.020562e-08,0.0102406
-4.015562e-08,0.0174632
-4.010562e-08,0.0243288
-4.005562e-08,0.0274595
-4.000562e-08,0.0232303
-3.995562e-08,0.0187814
-3.990562e-08,0.0207862
-3.985562e-08,0.0237521
-3.980562e-08,0.0247133
-3.975562e-08,0.0257843
-3.970562e-08,0.0247957
-3.965562e-08,0.024164
-3.960562e-08,0.0272124
-3.955562e-08,0.0258942
-3.950562e-08,0.0205665
-3.945562e-08,0.0173534
-3.940562e-08,0.0188912
-3.935562e-08,0.0199348
-3.930562e-08,0.0119433
-3.925562e-08,0.00955404
-3.920562e-08,0.0180399
-3.915562e-08,0.0206214
-3.910562e-08,0.0224064
-3.905562e-08,0.031826
-3.900562e-08,0.0316338
-3.895562e-08,0.0206488
-3.890562e-08,0.0180399
-3.885562e-08,0.0180674
-3.880562e-08,0.013234
-3.875562e-08,0.0116961
-3.870562e-08,0.014717
-3.865562e-08,0.0245485
-3.860562e-08,0.0352314
-3.855562e-08,0.0338857
-3.850562e-08,0.0287777
-3.845562e-08,0.0268828
-3.840562e-08,0.0231205
-3.835562e-08,0.0246309
-3.830562e-08,0.0286129
-3.825562e-08,0.0243837
-3.820562e-08,0.0262786
-3.815562e-08,0.0372361
-3.810562e-08,0.0407788
-3.805562e-08,0.0353961
-3.800562e-08,0.0270201
-3.795562e-08,0.0280637
-3.790562e-08,0.0401746
-3.785562e-08,0.0449256
-3.780562e-08,0.0414928
-3.775562e-08,0.0400373
-3.770562e-08,0.0428934
-3.765562e-08,0.0414379
-3.760562e-08,0.0280088
-3.755562e-08,0.0190286
-3.750562e-08,0.0189736
-3.745562e-08,0.0138931
-3.740562e-08,0.00785137
-3.735562e-08,0.0105976
-3.730562e-08,0.0178202
-3.725562e-08,0.0204566
-3.720562e-08,0.0237796
-3.715562e-08,0.0300684
-3.710562e-08,0.0268004
-3.705562e-08,0.0240542
-3.700562e-08,0.0308374
-3.695562e-08,0.0328696
-3.690562e-08,0.0392683
-3.685562e-08,0.0500611
-3.680562e-08,0.0443214
-3.675562e-08,0.0325401
-3.670562e-08,0.0253174
-3.665562e-08,0.0172984
-3.660562e-08,0.015074
-3.655562e-08,0.0214178
-3.650562e-08,0.0233402
-3.645562e-08,0.0144973
-3.640562e-08,0.00881255
-3.635562e-08,0.0140579
-3.630562e-08,0.0199348
-3.625562e-08,0.0250428
-3.620562e-08,0.0286679
-3.615562e-08,0.0212256
-3.610562e-08,0.0169414
-3.605562e-08,0.0260589
-3.600562e-08,0.0263336
-3.595562e-08,0.0217748
-3.590562e-08,0.02713
-3.585562e-08,0.0275968
-3.580562e-08,0.023807
-3.575562e-08,0.0233127
-3.570562e-08,0.0204291
-3.565562e-08,0.0174083
-3.560562e-08,0.0135635
-3.555562e-08,0.00535229
-3.550562e-08,0.00466573
-3.545562e-08,0.0117785
-3.540562e-08,0.0123277
-3.535562e-08,0.0142226
-3.530562e-08,0.0236422
-3.525562e-08,0.0310296
-3.520562e-08,0.0372087
-3.515562e-08,0.0428385
-3.510562e-08,0.0458044
-3.505562e-08,0.0459417
-3.500562e-08,0.0383072
-3.495562e-08,0.0273771
-3.490562e-08,0.0191659
-3.485562e-08,0.0144423
-3.480562e-08,0.0177104
-3.475562e-08,0.0247407
-3.470562e-08,0.0276243
-3.465562e-08,0.0265807
-3.460562e-08,0.0278165
-3.455562e-08,0.0314141
-3.450562e-08,0.0326224
-3.445562e-08,0.0308648
-3.440562e-08,0.026718
-3.435562e-08,0.0280637
-3.430562e-08,0.0333914
-3.425562e-08,0.0338308
-3.420562e-08,0.034737
-3.415562e-08,0.0394606
-3.410562e-08,0.0411358
-3.405562e-08,0.036632
-3.400562e-08,0.0319633
-3.395562e-08,0.0335836
-3.390562e-08,0.0390486
-3.385562e-08,0.0403668
-3.380562e-08,0.03806
-3.375562e-08,0.0324577
-3.370562e-08,0.0199897
-3.365562e-08,0.00867524
-3.360562e-08,0.00222158
-3.355562e-08,-0.00475387
-3.350562e-08,-0.00876338
-3.345562e-08,-0.00343567
-3.340562e-08,0.00708242
-3.335562e-08,0.0158704
-3.330562e-08,0.022736
-3.325562e-08,0.028201
-3.320562e-08,0.0326224
-3.315562e-08,0.0302881
-3.310562e-08,0.019825
-3.305562e-08,0.0167217
-3.300562e-08,0.0193032
-3.295562e-08,0.0197975
-3.290562e-08,0.0237246
-3.285562e-08,0.0230655
-3.280562e-08,0.0149367
-3.275562e-08,0.0129868
-3.270562e-08,0.0184793
-3.265562e-08,0.0187539
-3.260562e-08,0.0131241
-3.255562e-08,0.0106525
-3.250562e-08,0.00790629
-3.245562e-08,0.00323769
-3.240562e-08,0.00257859
-3.235562e-08,0.0035947
-3.230562e-08,0.00620363
-3.225562e-08,0.0129044
-3.220562e-08,0.0210333
-3.215562e-08,0.0286404
-3.210562e-08,0.0332266
-3.205562e-08,0.0280088
-3.200562e-08,0.0156781
-3.195562e-08,0.0155683
-3.190562e-08,0.0190835
-3.185562e-08,0.00568184
-3.180562e-08,-0.00689593
-3.175562e-08,-0.00480879
-3.170562e-08,0.00897733
-3.165562e-08,0.0218297
-3.160562e-08,0.0160352
-3.155562e-08,0.00845554
-3.150562e-08,0.00971881
-3.145562e-08,0.00417141
-3.140562e-08,0.00241382
-3.135562e-08,0.0116412
-3.130562e-08,0.0129868
-3.125562e-08,0.00397917
-3.120562e-08,-0.000167648
-3.115562e-08,0.00628601
-3.110562e-08,0.017628
-3.105562e-08,0.031826
-3.100562e-08,0.0468205
-3.095562e-08,0.0553888
-3.090562e-08,0.0550043
-3.085562e-08,0.0499787
-3.080562e-08,0.0430856
-3.075562e-08,0.0332815
-3.070562e-08,0.0262786
-3.065562e-08,0.021253
-3.060562e-08,0.0095815
-3.055562e-08,0.00752182
-3.050562e-08,0.0236422
-3.045562e-08,0.0326774
-3.040562e-08,0.0276792
-3.035562e-08,0.0265533
-3.030562e-08,0.0348469
-3.025562e-08,0.0400373
-3.020562e-08,0.0357806
-3.015562e-08,0.0298213
-3.010562e-08,0.02529
-3.005562e-08,0.0238894
-3.000562e-08,0.0264159
-2.995562e-08,0.0300135
-2.990562e-08,0.0294643
-2.985562e-08,0.0211981
-2.980562e-08,0.0127122
-2.975562e-08,0.00776898
-2.970562e-08,0.0116961
-2.965562e-08,0.0288052
-2.960562e-08,0.0422068
-2.955562e-08,0.045365
-2.950562e-08,0.045365
-2.945562e-08,0.0402295
-2.940562e-08,0.0272124
-2.935562e-08,0.0148817
-2.930562e-08,0.0150465
-2.925562e-08,0.0182871
-2.920562e-08,0.0177104
-2.915562e-08,0.0156232
-2.910562e-08,0.0137283
-2.905562e-08,0.0240816
-2.900562e-08,0.0358355
-2.895562e-08,0.0391585
-2.890562e-08,0.0461339
-2.885562e-08,0.0500061
-2.880562e-08,0.0514616
-2.875562e-08,0.059206
-2.870562e-08,0.0645887
-2.865562e-08,0.0667307
-2.860562e-08,0.0636
-2.855562e-08,0.0471226
-2.850562e-08,0.0313592
-2.845562e-08,0.02529
-2.840562e-08,0.0180125
-2.835562e-08,0.0119982
-2.830562e-08,0.00916956
-2.825562e-08,0.00524244
-2.820562e-08,0.00988359
-2.815562e-08,0.0188089
-2.810562e-08,0.0183695
-2.805562e-08,0.020182
-2.800562e-08,0.023807
-2.795562e-08,0.0170238
-2.790562e-08,0.0148268
-2.785562e-08,0.0213079
-2.780562e-08,0.0222691
-2.775562e-08,0.0184793
-2.770562e-08,0.0172435
-2.765562e-08,0.01977
-2.760562e-08,0.0224064
-2.755562e-08,0.024933
-2.750562e-08,0.0283108
-2.745562e-08,0.0250703
-2.740562e-08,0.0165844
-2.735562e-08,0.0145522
-2.730562e-08,0.012877
-2.725562e-08,0.00477558
-2.720562e-08,0.000244288
-2.715562e-08,0.000793536
-2.710562e-08,0.00252367
-2.705562e-08,0.00894986
-2.700562e-08,0.0128495
-2.695562e-08,0.0101857
-2.690562e-08,0.0157605
-2.685562e-08,0.0264983
-2.680562e-08,0.0286953
-2.675562e-08,0.0273222
-2.670562e-08,0.0269652
-2.665562e-08,0.025647
-2.660562e-08,0.0253174
-2.655562e-08,0.025647
-2.650562e-08,0.0243563
-2.645562e-08,0.0239443
-2.640562e-08,0.0253174
-2.635562e-08,0.0291896
-2.630562e-08,0.0350941
-2.625562e-08,0.0381973
-2.620562e-08,0.0357532
-2.615562e-08,0.024164
-2.610562e-08,0.0146895
-2.605562e-08,0.0207587
-2.600562e-08,0.0224888
-2.595562e-08,0.005929
-2.590562e-08,-0.00491864
-2.585562e-08,0.00224904
-2.580562e-08,0.0105152
-2.575562e-08,0.0163098
-2.570562e-08,0.0221318
-2.565562e-08,0.017271
-2.560562e-08,0.0072472
-2.555562e-08,0.00851047
-2.550562e-08,0.0170513
-2.545562e-08,0.0195778
-2.540562e-08,0.0144973
-2.535562e-08,0.00903225
-2.530562e-08,0.00881255
-2.525562e-08,0.00804361
-2.520562e-08,0.00150756
-2.515562e-08,0.000463987
-2.510562e-08,0.00900479
-2.505562e-08,0.0169414
-2.500562e-08,0.0204291
-2.495562e-08,0.0255646
-2.490562e-08,0.0337484
-2.485562e-08,0.0400098
-2.480562e-08,0.0420146
-2.475562e-08,0.0356433
-2.470562e-08,0.0225987
-2.465562e-08,0.0148268
-2.460562e-08,0.0160901
-2.455562e-08,0.0188089
-2.450562e-08,0.0199623
-2.445562e-08,0.0220494
-2.440562e-08,0.022324
-2.435562e-08,0.0187265
-2.430562e-08,0.0176554
-2.425562e-08,0.0164196
-2.420562e-08,0.0057093
-2.415562e-08,-0.00368283
-2.410562e-08,-0.00252941
-2.405562e-08,0.0035947
-2.400562e-08,0.0176554
-2.395562e-08,0.0337484
-2.390562e-08,0.0371263
-2.385562e-08,0.0341329
-2.380562e-08,0.0320183
-2.375562e-08,0.0247407
-2.370562e-08,0.0138382
-2.365562e-08,0.00466573
-2.360562e-08,-0.00263926
-2.355562e-08,-0.0067037
-2.350562e-08,-0.00544043
-2.345562e-08,-0.000140186
-2.340562e-08,0.00851047
-2.335562e-08,0.0170238
-2.330562e-08,0.0234775
-2.325562e-08,0.0297664
-2.320562e-08,0.0265533
-2.315562e-08,0.0151838
-2.310562e-08,0.0112018
-2.305562e-08,0.00840062
-2.300562e-08,0.00576423
-2.295562e-08,0.0144973
-2.290562e-08,0.0198524
-2.285562e-08,0.024933
-2.280562e-08,0.043168
-2.275562e-08,0.0478091
-2.270562e-08,0.0406964
-2.265562e-08,0.0459142
-2.260562e-08,0.0495667
-2.255562e-08,0.043525
-2.250562e-08,0.0332815
-2.245562e-08,0.0185892
-2.240562e-08,0.00911464
-2.235562e-08,0.0124101
-2.230562e-08,0.0160352
-2.225562e-08,0.0116412
-2.220562e-08,0.00908718
-2.215562e-08,0.0172984
-2.210562e-08,0.0319908
-2.205562e-08,0.0388289
-2.200562e-08,0.0364397
-2.195562e-08,0.0322105
-2.190562e-08,0.0279264
-2.185562e-08,0.0295192
-2.180562e-08,0.0318535
-2.175562e-08,0.0280362
-2.170562e-08,0.0284482
-2.165562e-08,0.0344624
-2.160562e-08,0.0326774
-2.155562e-08,0.0216924
-2.150562e-08,0.0141403
-2.145562e-08,0.0134812
-2.140562e-08,0.00938926
-2.135562e-08,0.000573836
-2.130562e-08,-0.00228225
-2.125562e-08,-0.00236464
-2.120562e-08,-0.00453417
-2.115562e-08,0.000189363
-2.110562e-08,0.0093618
-2.105562e-08,0.0108997
-2.100562e-08,0.00765913
-2.095562e-08,0.0087027
-2.090562e-08,0.00966389
-2.085562e-08,0.00842808
-2.080562e-08,0.0122454
-2.075562e-08,0.0182871
-2.070562e-08,0.0219396
-2.065562e-08,0.0265258
-2.060562e-08,0.0324577
-2.055562e-08,0.0343251
-2.050562e-08,0.0302881
-2.045562e-08,0.0284482
-2.040562e-08,0.0279264
-2.035562e-08,0.0207038
-2.030562e-08,0.0186166
-2.025562e-08,0.024521
-2.020562e-08,0.0196053
-2.015562e-08,0.00927941
-2.010562e-08,0.00774152
-2.005562e-08,0.00790629
-2.000562e-08,0.00741197
-1.995562e-08,0.011751
-1.990562e-08,0.0181223
-1.985562e-08,0.0184244
-1.980562e-08,0.0142501
-1.975562e-08,0.0155408
-1.970562e-08,0.0182596
-1.965562e-08,0.0165295
-1.960562e-08,0.0130967
-1.955562e-08,0.00771406
-1.950562e-08,0.00903225
-1.945562e-08,0.022324
-1.940562e-08,0.0311944
-1.935562e-08,0.0268004
-1.930562e-08,0.0142501
-1.925562e-08,-0.00184285
-1.920562e-08,-0.0103287
-1.915562e-08,-0.0136242
-1.910562e-08,-0.0209018
-1.905562e-08,-0.0208468
