2023-11-01 09:46:35

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
11.75	1.761	0.0	1.095	0.001	-0.003	0.003	-0.002	-0.001	0	0	0	0	0	0	843657008	0	1000.0
12.0	1.8	0.0	1.119	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843665748	0	1000.0
12.25	1.836	-0.003	1.207	0.001	-0.001	-0.0	-0.001	0.0	0	0	0	0	0	0	843661885	0	1000.0
12.5	1.868	0.0	1.231	0.001	-0.002	0.001	-0.002	0.002	0	0	0	0	0	0	843659863	0	1000.0
12.75	1.91	-0.003	1.256	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843654321	0	1000.0
13.0	1.948	-0.003	1.282	-0.002	-0.002	-0.001	-0.004	-0.003	0	0	0	0	0	0	843669930	0	1000.0
13.25	1.987	-0.003	1.341	-0.002	-0.002	-0.001	-0.004	-0.005	0	0	0	0	0	0	843667742	0	1000.0
13.5	2.021	-0.003	1.368	-0.002	-0.003	-0.0	-0.003	-0.004	0	0	0	0	1	0	843654656	0	1000.0
13.75	2.058	-0.001	1.394	-0.002	-0.001	-0.0	-0.003	0.0	0	0	0	0	0	0	843686128	0	1000.0
14.0	2.097	-0.003	1.419	-0.005	-0.003	-0.002	-0.001	0.0	0	0	0	0	1	0	843683997	0	1000.0
14.25	2.137	-0.003	1.446	0.001	-0.003	0.002	-0.003	-0.002	0	0	0	0	2	0	843659840	0	1000.0
14.5	2.173	-0.001	1.529	-0.002	-0.004	-0.001	-0.001	-0.003	0	0	0	0	1	0	843655124	0	1000.0
14.75	2.212	-0.003	1.554	-0.002	-0.002	-0.001	-0.004	-0.003	0	0	0	0	0	0	843659299	0	1000.0
15.0	2.247	0.0	1.578	0.001	-0.004	-0.001	-0.001	0.0	0	0	0	0	1	0	843660240	0	1000.0
15.25	2.285	-0.003	1.617	-0.002	-0.002	-0.001	-0.004	0.0	0	0	0	0	3	0	843667123	0	1000.0
15.5	2.32	0.002	1.644	0.001	-0.003	-0.002	0.002	-0.001	0	0	0	0	7	0	843689598	0	1000.0
15.75	2.361	0.0	1.673	-0.002	-0.002	0.002	-0.006	-0.005	0	0	0	0	3	0	843699398	0	1000.0
16.0	2.401	0.0	1.717	0.001	-0.0	0.001	-0.002	-0.001	0	0	0	0	2	0	843672911	0	1000.0
16.25	2.438	0.003	1.747	-0.001	-0.0	-0.002	-0.002	-0.004	0	0	0	0	6	0	843660614	0	1000.0
16.5	2.471	0.0	1.771	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	3	0	843682398	0	1000.0
16.75	2.511	0.0	1.801	0.001	-0.001	-0.002	-0.003	-0.002	0	0	0	0	15	0	843661723	0	1000.0
17.0	2.549	-0.001	1.846	0.0	-0.003	0.002	-0.003	-0.002	0	0	0	0	17	0	843671426	0	1000.0
17.25	2.584	-0.003	1.874	0.001	0.001	-0.001	-0.004	-0.003	0	0	0	0	22	0	843690506	0	1000.0
17.5	2.622	-0.003	1.922	-0.002	0.002	-0.002	0.0	0.001	0	0	0	0	17	0	843656927	0	1000.0
17.75	2.661	-0.001	1.949	0.002	0.001	-0.0	-0.003	0.0	0	0	0	0	20	0	843655485	0	1000.0
18.0	2.698	-0.003	1.974	0.001	-0.0	0.001	0.0	-0.001	0	0	0	0	16	0	843661955	0	1000.0
18.25	2.738	0.0	2.005	0.001	0.002	0.001	-0.002	-0.001	0	0	0	0	24	0	843667690	0	1000.0
18.5	2.774	0.0	2.032	0.001	0.001	0.002	-0.003	-0.002	0	0	0	0	46	0	843665413	0	1000.0
18.75	2.811	0.002	2.059	-0.002	-0.003	0.001	-0.002	-0.004	0	0	0	0	54	0	843665138	0	1000.0
19.0	2.844	-0.003	2.088	0.0	0.001	0.002	-0.008	-0.002	0	0	0	0	45	0	843676944	0	1000.0
19.25	2.889	-0.003	2.115	0.001	0.001	-0.0	0.715	-0.004	0	0	0	0	35	0	843682740	0	1000.0
19.5	2.919	-0.004	2.143	-0.003	0.002	-0.002	0.723	-0.004	0	0	0	0	40	0	843657853	0	1000.0
19.75	2.959	-0.001	2.205	-0.002	0.003	0.001	0.733	0.002	0	0	0	0	65	0	843651298	0	1000.0
20.0	2.997	0.0	2.238	-0.001	0.714	-0.002	0.742	-0.004	0	0	0	0	32	0	843669249	0	1000.0
20.25	3.035	-0.003	2.264	0.0	0.722	-0.0	0.752	-0.002	0	0	0	0	0	0	843675724	0	1000.0
20.5	3.072	-0.003	2.294	0.001	0.732	0.005	0.759	-0.004	0	0	0	0	0	0	843669325	0	1000.0
20.75	3.106	-0.001	2.405	-0.002	0.741	0.002	0.766	-0.002	0	0	0	0	0	0	843668275	0	1000.0
21.0	3.148	0.002	2.438	0.001	0.752	0.001	0.779	-0.001	0	0	0	0	0	0	843671656	0	1000.0
21.25	3.187	0.0	2.467	0.001	0.758	0.002	0.788	-0.003	0	0	0	0	0	0	843663376	0	1000.0
21.5	3.221	0.0	2.496	0.003	0.768	-0.0	0.796	-0.004	0	0	0	0	0	0	843683018	0	1000.0
21.75	3.26	0.002	2.523	-0.002	0.777	-0.001	0.805	-0.003	0	0	0	0	0	0	843664402	0	1000.0
22.0	3.297	0.0	2.557	0.001	0.787	0.004	0.816	-0.001	0	0	0	0	0	0	843657438	0	1000.0
22.25	3.333	0.0	2.609	-0.002	0.796	-0.001	0.831	-0.001	0	0	0	0	0	0	843669276	0	1000.0
22.5	3.372	-0.003	2.635	0.002	0.803	-0.001	0.834	-0.005	0	0	0	0	0	0	843675915	0	1000.0
22.75	3.407	-0.003	2.667	-0.002	0.811	-0.0	0.844	-0.002	0	0	0	0	0	0	843663666	0	1000.0
23.0	3.448	0.002	2.694	0.003	0.819	-0.003	0.856	-0.003	0	0	0	2	0	0	843686124	0	1000.0
23.25	3.485	0.003	2.726	0.001	0.832	-0.0	0.864	-0.004	0	0	0	0	0	0	843675812	0	1000.0
23.5	3.524	0.002	2.765	-0.002	0.839	-0.002	0.874	-0.002	0	0	0	0	0	0	843675837	0	1000.0
23.75	3.56	0.001	2.83	0.0	0.849	-0.0	0.881	-0.002	0	0	0	0	0	0	843673050	0	1000.0
24.0	3.597	0.0	2.897	0.001	0.859	-0.0	0.891	-0.002	0	0	0	0	0	0	843648350	0	1000.0
24.25	3.634	0.0	2.926	0.001	0.87	-0.001	0.899	-0.006	0	0	0	3	0	0	843657516	0	1000.0
