2023-11-01 09:19:21

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT

0.0	0.0	0.002	-0.002	0.001	0.002	0.001	-0.002	0.001	0	0	0	1	1	1	843308208	1	1000.0
0.25	0.034	-0.006	-0.002	0.002	-0.002	-0.001	-0.004	0.0	0	0	0	0	0	0	843574035	0	1000.0
0.5	0.073	0.0	0.001	0.001	0.002	0.003	-0.002	-0.001	0	0	0	0	0	0	843642747	0	1000.0
0.75	0.11	-0.003	0.001	-0.002	0.002	-0.002	-0.002	-0.006	0	0	0	0	0	0	843680688	0	1000.0
1.0	0.149	0.0	0.001	0.001	0.001	-0.003	-0.001	0.0	0	0	0	0	0	0	843704641	0	1000.0
1.25	0.187	-0.001	-0.0	0.0	-0.0	0.003	-0.002	0.001	0	0	0	0	0	0	843693343	0	1000.0
1.5	0.223	-0.004	-0.001	-0.001	-0.002	-0.003	-0.006	-0.005	0	0	0	0	0	0	843695208	0	1000.0
1.75	0.261	0.0	0.003	0.003	-0.0	-0.002	-0.002	-0.004	0	0	0	0	0	0	843700107	0	1000.0
2.0	0.3	0.0	-0.002	0.001	-0.001	0.002	-0.003	-0.002	0	0	0	0	0	0	843708181	0	1000.0
2.25	0.335	0.0	0.001	0.003	-0.001	-0.0	-0.003	0.0	0	0	0	0	0	0	843721614	0	1000.0
2.5	0.371	-0.003	0.005	0.001	0.001	-0.002	-0.003	-0.004	0	0	0	0	0	0	843709858	0	1000.0
2.75	0.412	-0.001	0.005	0.0	-0.0	0.001	0.0	-0.001	0	0	0	0	0	0	843717337	0	1000.0
3.0	0.447	0.0	0.01	-0.002	-0.001	-0.0	-0.003	-0.004	0	0	0	0	0	0	843710172	0	1000.0
3.25	0.488	-0.003	0.015	0.001	-0.0	0.001	0.001	-0.003	0	0	0	0	0	0	843710034	0	1000.0
3.5	0.523	0.0	0.02	0.001	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843717672	0	1000.0
3.75	0.564	-0.001	0.02	0.0	-0.0	-0.002	-0.002	-0.001	0	0	0	0	0	0	843702488	0	1000.0
4.0	0.6	-0.003	0.034	0.0	-0.0	0.001	-0.002	-0.004	0	0	0	0	0	0	843706264	0	1000.0
4.25	0.633	-0.003	0.037	-0.002	-0.001	-0.0	-0.003	-0.002	0	0	0	0	0	0	843705577	0	1000.0
