LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:36:58,0                 
Time,Ampl
-4.044846e-08,-0.00750011
-4.039846e-08,0.00115055
-4.034846e-08,-0.000524659
-4.029846e-08,-0.00263926
-4.024846e-08,0.00656064
-4.019846e-08,0.0148268
-4.014846e-08,0.0127671
-4.009846e-08,0.00798868
-4.004846e-08,0.0101033
-3.999846e-08,0.0174083
-3.994846e-08,0.0160077
-3.989846e-08,0.00370455
-3.984846e-08,-0.00826905
-3.979846e-08,-0.0112075
-3.974846e-08,-0.0081592
-3.969846e-08,-0.00939501
-3.964846e-08,-0.0101365
-3.959846e-08,-0.00725294
-3.954846e-08,-0.00681355
-3.949846e-08,-0.00686847
-3.944846e-08,-0.010521
-3.939846e-08,-0.0196385
-3.934846e-08,-0.0239226
-3.929846e-08,-0.0175513
-3.924846e-08,-0.00892815
-3.919846e-08,-0.00733533
-3.914846e-08,-0.00804935
-3.909846e-08,-0.00662131
-3.904846e-08,-0.00994426
-3.899846e-08,-0.0186224
-3.894846e-08,-0.0243345
-3.889846e-08,-0.0229889
-3.884846e-08,-0.019968
-3.879846e-08,-0.0201603
-3.874846e-08,-0.0133771
-3.869846e-08,-0.00340821
-3.864846e-08,-0.00318851
-3.859846e-08,0.003375
-3.854846e-08,0.018699
-3.849846e-08,0.0235873
-3.844846e-08,0.0244936
-3.839846e-08,0.0277341
-3.834846e-08,0.0213903
-3.829846e-08,0.0109272
-3.824846e-08,0.0126298
-3.819846e-08,0.020896
-3.814846e-08,0.0209235
-3.809846e-08,0.0170238
-3.804846e-08,0.0151014
-3.799846e-08,0.0129868
-3.794846e-08,0.0146071
-3.789846e-08,0.0179301
-3.784846e-08,0.0134262
-3.779846e-08,0.00183711
-3.774846e-08,-0.00818667
-3.769846e-08,-0.0113448
-3.764846e-08,-0.00851621
-3.759846e-08,-0.00997172
-3.754846e-08,-0.0203525
-3.749846e-08,-0.0287835
-3.744846e-08,-0.0321064
-3.739846e-08,-0.0338915
-3.734846e-08,-0.0333147
-3.729846e-08,-0.0328754
-3.724846e-08,-0.0275751
-3.719846e-08,-0.0179084
-3.714846e-08,-0.017057
-3.709846e-08,-0.0206546
-3.704846e-08,-0.0234008
-3.699846e-08,-0.0260647
-3.694846e-08,-0.0231262
-3.689846e-08,-0.0188695
-3.684846e-08,-0.0143932
-3.679846e-08,-0.00483625
-3.674846e-08,0.0012604
-3.669846e-08,-0.00107391
-3.664846e-08,-0.00406731
-3.659846e-08,-0.00535804
-3.654846e-08,-0.00714309
-3.649846e-08,-0.00807682
-3.644846e-08,-0.00642907
-3.639846e-08,-0.000332422
-3.634846e-08,0.00362216
-3.629846e-08,0.00150756
-3.624846e-08,0.00219412
-3.619846e-08,-0.000332422
-3.614846e-08,-0.0144206
-3.609846e-08,-0.024005
-3.604846e-08,-0.0224671
-3.599846e-08,-0.0154917
-3.594846e-08,-0.00659385
-3.589846e-08,-0.00651146
-3.584846e-08,-0.0121412
-3.579846e-08,-0.0129926
-3.574846e-08,-0.00835144
-3.569846e-08,-0.00272165
-3.564846e-08,-0.00233718
-3.559846e-08,-0.00961471
-3.554846e-08,-0.0171394
-3.549846e-08,-0.0151072
-3.544846e-08,-0.0142833
-3.539846e-08,-0.0206821
-3.534846e-08,-0.0228516
-3.529846e-08,-0.0198856
-3.524846e-08,-0.0125806
-3.519846e-08,-0.00156823
-3.514846e-08,0.00414395
-3.509846e-08,-0.00118376
-3.504846e-08,-0.0118666
-3.499846e-08,-0.0148326
-3.494846e-08,-0.00961471
-3.489846e-08,-0.00711563
-3.484846e-08,-0.00403984
-3.479846e-08,0.00180964
-3.474846e-08,-0.000167648
-3.469846e-08,-0.00393
-3.464846e-08,0.0003816
-3.459846e-08,0.00285321
-3.454846e-08,0.0031553
-3.449846e-08,0.00400663
-3.444846e-08,-0.00620937
-3.439846e-08,-0.0201877
-3.434846e-08,-0.0208194
-3.429846e-08,-0.0106583
-3.424846e-08,-0.00955978
-3.419846e-08,-0.0211214
-3.414846e-08,-0.0176337
-3.409846e-08,-0.00500103
-3.404846e-08,-0.00854368
-3.399846e-08,-0.0126356
-3.394846e-08,-0.00818667
-3.389846e-08,-0.00423208
-3.384846e-08,-0.00112883
-3.379846e-08,-0.00368283
-3.374846e-08,-0.00895561
-3.369846e-08,-0.0128827
-3.364846e-08,-0.0209018
-3.359846e-08,-0.0252683
-3.354846e-08,-0.0239501
-3.349846e-08,-0.0196934
-3.344846e-08,-0.00478133
-3.339846e-08,0.00859285
-3.334846e-08,0.00859285
-3.329846e-08,0.00697257
-3.324846e-08,0.00820838
-3.319846e-08,0.00477558
-3.314846e-08,-0.00428701
-3.309846e-08,-0.00942247
-3.304846e-08,-0.00785712
-3.299846e-08,-0.0069234
-3.294846e-08,-0.00450671
-3.289846e-08,-0.000689433
-3.284846e-08,-0.00137599
-3.279846e-08,-0.000744358
-3.274846e-08,0.00386932
-3.269846e-08,0.00452842
-3.264846e-08,0.00246874
-3.259846e-08,0.00282575
-3.254846e-08,-0.00436939
-3.249846e-08,-0.0154093
-3.244846e-08,-0.0129926
-3.239846e-08,-0.00436939
-3.234846e-08,-0.000716896
-3.229846e-08,-0.00107391
-3.224846e-08,-0.000250035
-3.219846e-08,0.00491289
-3.214846e-08,0.00584661
-3.209846e-08,2.45887e-05
-3.204846e-08,-0.00412223
-3.199846e-08,-0.00664877
-3.194846e-08,-0.00785712
-3.189846e-08,-0.00585236
-3.184846e-08,-0.00695086
-3.179846e-08,-0.0110977
-3.174846e-08,-0.0116469
-3.169846e-08,-0.00436939
-3.164846e-08,0.00669795
-3.159846e-08,0.00801614
-3.154846e-08,0.00268844
-3.149846e-08,0.00348485
-3.144846e-08,0.00450096
-3.139846e-08,-0.00398492
-3.134846e-08,-0.0124708
-3.129846e-08,-0.00950486
-3.124846e-08,-0.0109329
-3.119846e-08,-0.0249662
-3.114846e-08,-0.029113
-3.109846e-08,-0.0216707
-3.104846e-08,-0.0180457
-3.099846e-08,-0.0162606
-3.094846e-08,-0.0120314
-3.089846e-08,-0.00835144
-3.084846e-08,-0.00782965
-3.079846e-08,-0.00230971
-3.074846e-08,0.00905971
-3.069846e-08,0.0100758
-3.064846e-08,0.00321023
-3.059846e-08,-0.00203509
