LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:36:57,0                 
Time,Ampl
-4.040271e-08,0.0502808
-4.035271e-08,0.0410534
-4.030271e-08,0.0317436
-4.025271e-08,0.0185342
-4.020271e-08,0.00829077
-4.015271e-08,0.00875763
-4.010271e-08,0.00694511
-4.005271e-08,0.000161901
-4.000271e-08,-0.00241956
-3.995271e-08,0.00095831
-3.990271e-08,0.00507767
-3.985271e-08,0.00463827
-3.980271e-08,0.00521498
-3.975271e-08,0.0095815
-3.970271e-08,0.0152662
-3.965271e-08,0.0254548
-3.960271e-08,0.0339406
-3.955271e-08,0.03622
-3.950271e-08,0.0383895
-3.945271e-08,0.0399274
-3.940271e-08,0.0371537
-3.935271e-08,0.0266082
-3.930271e-08,0.0112567
-3.925271e-08,-0.000854208
-3.920271e-08,-0.00785712
-3.915271e-08,-0.00456163
-3.910271e-08,0.00433618
-3.905271e-08,0.00408902
-3.900271e-08,0.00312784
-3.895271e-08,0.00862032
-3.890271e-08,0.00727466
-3.885271e-08,0.00285321
-3.880271e-08,0.00178218
-3.875271e-08,-0.000661971
-3.870271e-08,0.000683686
-3.865271e-08,0.00205681
-3.860271e-08,0.00027175
-3.855271e-08,0.00647825
-3.850271e-08,0.0129594
-3.845271e-08,0.0127946
-3.840271e-08,0.0123003
-3.835271e-08,0.00700004
-3.830271e-08,-0.000607046
-3.825271e-08,-0.00288642
-3.820271e-08,-0.00313359
-3.815271e-08,-0.00508342
-3.810271e-08,-0.0053855
-3.805271e-08,-0.0019527
-3.800271e-08,0.00106816
-3.795271e-08,0.00417141
-3.790271e-08,0.00634094
-3.785271e-08,0.00205681
-3.780271e-08,-0.00307866
-3.775271e-08,-0.0030512
-3.770271e-08,0.00109562
-3.765271e-08,0.0108448
-3.760271e-08,0.0189462
-3.755271e-08,0.0210882
-3.750271e-08,0.024576
-3.745271e-08,0.0246034
-3.740271e-08,0.0195778
-3.735271e-08,0.0158978
-3.730271e-08,0.00532483
-3.725271e-08,-0.00857114
-3.720271e-08,-0.0102463
-3.715271e-08,-0.00719802
-3.710271e-08,-0.0121962
-3.705271e-08,-0.0153269
-3.700271e-08,-0.0103562
-3.695271e-08,-0.0106857
-3.690271e-08,-0.0113174
-3.685271e-08,-0.00445178
-3.680271e-08,-0.00631922
-3.675271e-08,-0.0132123
-3.670271e-08,-0.0121962
-3.665271e-08,-0.00807682
-3.660271e-08,-0.000661971
-3.655271e-08,0.00411648
-3.650271e-08,0.000546374
-3.645271e-08,-0.000909132
-3.640271e-08,0.00370455
-3.635271e-08,0.0122179
-3.630271e-08,0.0140853
-3.625271e-08,0.00224904
-3.620271e-08,0.000820998
-3.615271e-08,0.0161999
-3.610271e-08,0.0210333
-3.605271e-08,0.0127122
-3.600271e-08,0.00889494
-3.595271e-08,0.0165844
-3.590271e-08,0.0230381
-3.585271e-08,0.0203742
-3.580271e-08,0.022379
-3.575271e-08,0.0233402
-3.570271e-08,0.0160077
-3.565271e-08,0.0145247
-3.560271e-08,0.0135361
-3.555271e-08,0.00518752
-3.550271e-08,0.000189363
-3.545271e-08,0.00120547
-3.540271e-08,0.00329261
-3.535271e-08,0.00669795
-3.530271e-08,0.0126573
-3.525271e-08,0.0165844
-3.520271e-08,0.0170238
-3.515271e-08,0.0200447
-3.510271e-08,0.0221043
-3.505271e-08,0.0152662
-3.500271e-08,0.00543468
-3.495271e-08,0.00392425
-3.490271e-08,0.00873017
-3.485271e-08,0.00768659
-3.480271e-08,-0.00225479
-3.475271e-08,-0.0116469
-3.470271e-08,-0.0151621
