LECROYWR640Zi,59892,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,01-Nov-2023 13:34:14,0                 
Time,Ampl
-4.044724e-08,0.0507202
-4.039724e-08,0.0455847
-4.034724e-08,0.0370164
-4.029724e-08,0.0413006
-4.024724e-08,0.0466283
-4.019724e-08,0.0405316
-4.014724e-08,0.0259491
-4.009724e-08,0.0123003
-4.004724e-08,0.0044735
-3.999724e-08,-0.000964057
-3.994724e-08,0.000189363
-3.989724e-08,0.00537975
-3.984724e-08,0.00925195
-3.979724e-08,0.0160077
-3.974724e-08,0.0170513
-3.969724e-08,0.0211157
-3.964724e-08,0.0419597
-3.959724e-08,0.0522031
-3.954724e-08,0.0419871
-3.949724e-08,0.0346547
-3.944724e-08,0.0340779
-3.939724e-08,0.027075
-3.934724e-08,0.0180399
-3.929724e-08,0.0189736
-3.924724e-08,0.0190286
-3.919724e-08,0.0193032
-3.914724e-08,0.0315239
-3.909724e-08,0.0362749
-3.904724e-08,0.0273222
-3.899724e-08,0.023807
-3.894724e-08,0.0244387
-3.889724e-08,0.0230381
-3.884724e-08,0.0239169
-3.879724e-08,0.0248506
-3.874724e-08,0.0283658
-3.869724e-08,0.0367143
-3.864724e-08,0.0419597
-3.859724e-08,0.0432229
-3.854724e-08,0.0399549
-3.849724e-08,0.0326499
-3.844724e-08,0.0272398
-3.839724e-08,0.02345
-3.834724e-08,0.0237796
-3.829724e-08,0.0271849
-3.824724e-08,0.0268279
-3.819724e-08,0.0244936
-3.814724e-08,0.0272124
-3.809724e-08,0.0403119
-3.804724e-08,0.0547571
-3.799724e-08,0.0593708
-3.794724e-08,0.0525327
-3.789724e-08,0.036989
-3.784724e-08,0.0286953
-3.779724e-08,0.0293544
-3.774724e-08,0.0257294
-3.769724e-08,0.0226261
-3.764724e-08,0.0177653
-3.759724e-08,0.0070275
-3.754724e-08,0.00472066
-3.749724e-08,0.00581915
-3.744724e-08,0.00137025
-3.739724e-08,0.00200188
-3.734724e-08,0.00606631
-3.729724e-08,0.00900479
-3.724724e-08,0.015431
-3.719724e-08,0.0263885
-3.714724e-08,0.0349842
-3.709724e-08,0.0310571
-3.704724e-08,0.0234225
-3.699724e-08,0.0255097
-3.694724e-08,0.029629
-3.689724e-08,0.0260589
-3.684724e-08,0.020539
-3.679724e-08,0.0231754
-3.674724e-08,0.0301234
-3.669724e-08,0.030755
-3.664724e-08,0.0295467
-3.659724e-08,0.0305078
-3.654724e-08,0.0275144
-3.649724e-08,0.0279538
-3.644724e-08,0.0294093
-3.639724e-08,0.0185892
-3.634724e-08,0.0116137
-3.629724e-08,0.0161725
-3.624724e-08,0.0166668
-3.619724e-08,0.0174357
-3.614724e-08,0.0261962
-3.609724e-08,0.0336111
-3.604724e-08,0.0308648
-3.599724e-08,0.0238894
-3.594724e-08,0.0220769
-3.589724e-08,0.0236697
-3.584724e-08,0.0251801
-3.579724e-08,0.0239993
-3.574724e-08,0.022324
-3.569724e-08,0.0288876
-3.564724e-08,0.0322105
-3.559724e-08,0.0225987
-3.554724e-08,0.0246858
-3.549724e-08,0.0450904
-3.544724e-08,0.0606615
-3.539724e-08,0.0641218
-3.534724e-08,0.060689
-3.529724e-08,0.0539333
-3.524724e-08,0.0451178
-3.519724e-08,0.0341878
-3.514724e-08,0.0280362
-3.509724e-08,0.0294917
-3.504724e-08,0.0322929
-3.499724e-08,0.0346547
-3.494724e-08,0.035863
-3.489724e-08,0.0345448
-3.484724e-08,0.0303705
-3.479724e-08,0.0249604
-3.474724e-08,0.0236422
-3.469724e-08,0.0269377
-3.464724e-08,0.0305628
-3.459724e-08,0.0278989
-3.454724e-08,0.0213079
-3.449724e-08,0.0171062
-3.444724e-08,0.0131241
-3.439724e-08,0.0134537
-3.434724e-08,0.0130692
-3.429724e-08,0.0042538
-3.424724e-08,-0.000250035
-3.419724e-08,0.00244128
-3.414724e-08,0.00796122
-3.409724e-08,0.0131791
-3.404724e-08,0.0116137
-3.399724e-08,0.0134812
-3.394724e-08,0.0213079
-3.389724e-08,0.0202918
-3.384724e-08,0.0176829
-3.379724e-08,0.0233402
-3.374724e-08,0.0233127
-3.369724e-08,0.0209509
-3.364724e-08,0.02529
-3.359724e-08,0.0266082
-3.354724e-08,0.0267455
-3.349724e-08,0.0254548
-3.344724e-08,0.0255646
